id,聲,呼,等,韻,調,組,攝,單字,多音,组词,原註,罕度
8452,心,開,一,唐,上,精,宕,顙,0,稽顙(稽颡),,2
8453,心,開,一,豪,平,,效,慅,0,慅慅,,3
8454,清,開,一,豪,上,精,效,懆,0,懆懆,,3
8455,心,開,一,豪,平,精,效,鰠,0,,,3
8456,心,開,一,豪,平,精,效,颾,0,颾颾,,3
8457,心,開,一,豪,去,,效,埽,0,埽帚,,2
8458,心,開,一,豪,上,,效,埽,0,堤埽,,2
8459,生,開,三,職,入,,曾,濇,0,濇濇,,3
8460,生,開,三,緝B,入,,深,濇,0,,,3
8461,,,,,,,,槮,0,,,3
8462,精,開,一,覃,去,,咸,篸,0,,,3
8463,心,開,一,登,平,精,曾,鬙,0,鬅鬙,,3
8464,生,開,二,皆,去,,蟹,鎩,0,鎩羽(铩羽),,2
8465,生,開,二,鎋,入,,山,鎩,0,鎩翼(铩翼),,2
8466,生,開,三,祭B,去,,蟹,鎩,0,鎩翮(铩翮),,2
8467,生,開,二,洽,入,,咸,歃,0,歃血,,2
8468,生,開,三,葉B,入,,咸,歃,0,歃盟,,2
8469,生,開,二,洽,入,,咸,箑,0,蒲箑,,3
8470,生,開,三,葉B,入,,咸,箑,0,,,3
8471,生,開,二,銜,入,莊,咸,翣,0,翣翣,,3
8472,生,開,三,支B,平,,止,釃,0,釃酒,,3
8473,以,開,三,仙A,平,,山,埏,0,埏埴,,3
8474,,,,,,,,騸,0,騸馬(骟马),,2
8475,常,開,三,仙A,上,章,山,墡,0,,,3
8476,,,,,,,,𥔱,0,,,3
8477,,,,,,,,謆,0,,,3
8478,常,開,三,仙A,上,章,山,鱓,0,黃鱓,,3
8479,,,,,,,,謪,0,,,3
8480,書,開,三,陽,平,章,宕,觴,0,觴詠(觞咏),,2
8481,生,開,二,肴,平,,效,莦,0,,,3
8482,心,開,三,宵A,平,,效,莦,0,,,3
8483,生,開,二,肴,平,莊,效,弰,0,弓弰,,3
8484,生,開,二,肴,平,,效,蛸,0,螵蛸,,2
8485,心,開,三,宵A,平,,效,蛸,0,蛸蟲(蛸虫),,2
8486,生,開,二,肴,平,莊,效,髾,0,,,3
8487,常,開,三,藥,入,,宕,杓,0,杓子,,2
8488,常,開,三,宵A,去,章,效,卲,0,,,3
8489,,,,,,,,睄,0,睄看,,2
8490,書,開,三,葉A,入,,咸,弽,0,,,3
8491,曉,開,四,怗,入,,咸,弽,0,,,3
8492,章,開,三,葉A,入,,咸,慴,0,慴服,,3
8493,心,開,四,怗,入,,咸,韘,0,韘韘,,3
8494,生,開,三,臻,平,莊,臻,侁,0,侁侁,,3
8495,書,開,三,眞A,平,,臻,珅,0,,,3
8496,生,開,三,臻,平,莊,臻,甡,0,甡甡,,3
8497,,,,,,,,葠,0,人葠,,3
8498,生,開,三,侵B,去,,深,罧,0,,,3
8499,生,開,三,臻,平,莊,臻,駪,0,駪駪,,3
8500,生,開,三,臻,平,莊,臻,燊,0,燊燊,,3
8501,端,開,一,覃,上,,咸,抌,0,,,3
8502,昌,開,三,侵A,上,章,深,瀋,0,瀋陽(沈阳),,0
8503,書,開,三,真A,上,章,臻,哂,0,哂笑,,2
8504,書,開,三,真A,上,章,臻,矧,0,矧況,,3
